GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Password Hacker,hacker.models,AuthResp,6,34,1,1,1,8,1,4,0,4
Password Hacker,hacker.models,UserCredentials,20,45,1,1,3,8,3,4,2,4
Password Hacker,hacker.app,DependencyManager,35,0,2,0,9,0,6,0,5,0
Password Hacker,hacker.app,Log,45,4,2,0,11,2,5,2,4,2
Password Hacker,hacker.app,Args,0,45,0,0,0,12,0,6,0,6
Password Hacker,hacker.app,App,49,0,0,0,14,0,3,0,3,0
Password Hacker,hacker.auth,Password.new AutoClosableIterator() {...},4,121,1,9,1,25,1,10,0,6
Password Hacker,hacker.auth,Password.new PeekableIterator() {...},8,70,1,5,2,19,1,7,0,5
Password Hacker,hacker.auth,Login,4,54,1,5,0,14,1,6,0,4
Password Hacker,hacker.auth,AuthResult,0,18,0,2,0,2,0,3,0,2
Password Hacker,hacker.auth,Password,7,144,1,6,1,35,1,15,0,12
Password Hacker,hacker.auth,Client,21,28,0,0,7,7,1,2,1,2
Password Hacker,hacker.auth,RotDial,0,18,0,0,0,4,0,3,0,3
Password Hacker,hacker.util.iter,AutoClosableLinesIterator,0,18,0,0,0,7,0,4,0,4
Password Hacker,hacker.util.iter,PeekingIterator,0,42,0,0,0,17,0,6,0,6
Password Hacker,hacker.util.iter,PeekableIterator,6,0,0,0,4,0,1,0,1,0
Password Hacker,hacker.util.exceptions,UninitPropException,11,0,0,0,3,0,1,0,1,0
Password Hacker,hacker.util.exceptions,SecondInitException,4,0,0,0,2,0,1,0,1,0
Password Hacker,hacker.util,Converter,0,21,0,0,0,5,0,5,0,5
Password Hacker,hacker.util,Cloner,6,4,0,0,2,1,0,1,0,1
